run,cell,prompt,clip_orig,siglip_orig,clip_edit,siglip_edit,clip_edit_effect,siglip_edit_effect
e21_Sbil_tau0.05,person_01__S__r32,an elderly person with gray hair,0.17114758491516113,-0.03145933896303177,0.17094676196575165,-0.004661976359784603,-0.00020082294940948486,0.026797362603247166
e21_Sbil_tau0.10,car_00__S__r32,a wrecked car after an accident,0.21923349797725677,0.01904786378145218,0.21818888187408447,0.048343490809202194,-0.0010446161031723022,0.029295627027750015
e21_Sbil_tau0.10,car_01__S__r32,a wrecked car after an accident,0.2770880162715912,0.017491355538368225,0.301214337348938,0.0583951473236084,0.024126321077346802,0.04090379178524017
e21_Sbil_tau0.10,dog_00__S__r32,a cat sitting on the grass,0.16961881518363953,0.01096988096833229,0.1672687828540802,0.005123515613377094,-0.002350032329559326,-0.005846365354955196
e21_Sbil_tau0.10,dog_01__S__r32,a cat sitting on the grass,0.17371027171611786,0.0008462471887469292,0.1744326502084732,0.00648987852036953,0.0007223784923553467,0.0056436313316226006
e21_Sbil_tau0.10,person_00__S__r32,an elderly person with gray hair,0.19879433512687683,0.011981284245848656,0.24224050343036652,0.0818512961268425,0.043446168303489685,0.06987001188099384
e21_Sbil_tau0.10,person_01__S__r32,an elderly person with gray hair,0.17114758491516113,-0.03145933896303177,0.17094676196575165,-0.004661976359784603,-0.00020082294940948486,0.026797362603247166
e22_Sbic_d6_tau0.02,car_00__S__r32,a wrecked car after an accident,0.21923349797725677,0.01904786378145218,0.21818888187408447,0.048343490809202194,-0.0010446161031723022,0.029295627027750015
e22_Sbic_d6_tau0.02,car_01__S__r32,a wrecked car after an accident,0.2770880162715912,0.017491355538368225,0.301214337348938,0.0583951473236084,0.024126321077346802,0.04090379178524017
e22_Sbic_d6_tau0.02,dog_00__S__r32,a cat sitting on the grass,0.16961881518363953,0.01096988096833229,0.1672687828540802,0.005123515613377094,-0.002350032329559326,-0.005846365354955196
e22_Sbic_d6_tau0.02,dog_01__S__r32,a cat sitting on the grass,0.17371027171611786,0.0008462471887469292,0.1744326502084732,0.00648987852036953,0.0007223784923553467,0.0056436313316226006
e22_Sbic_d6_tau0.02,person_00__S__r32,an elderly person with gray hair,0.19879433512687683,0.011981284245848656,0.24224050343036652,0.0818512961268425,0.043446168303489685,0.06987001188099384
e22_Sbic_d6_tau0.02,person_01__S__r32,an elderly person with gray hair,0.17114758491516113,-0.03145933896303177,0.17094676196575165,-0.004661976359784603,-0.00020082294940948486,0.026797362603247166
e22_Sbic_d6_tau0.05,car_00__S__r32,a wrecked car after an accident,0.21923349797725677,0.01904786378145218,0.21818888187408447,0.048343490809202194,-0.0010446161031723022,0.029295627027750015
e22_Sbic_d6_tau0.05,car_01__S__r32,a wrecked car after an accident,0.2770880162715912,0.017491355538368225,0.301214337348938,0.0583951473236084,0.024126321077346802,0.04090379178524017
e22_Sbic_d6_tau0.05,dog_00__S__r32,a cat sitting on the grass,0.16961881518363953,0.01096988096833229,0.1672687828540802,0.005123515613377094,-0.002350032329559326,-0.005846365354955196
e22_Sbic_d6_tau0.05,dog_01__S__r32,a cat sitting on the grass,0.17371027171611786,0.0008462471887469292,0.1744326502084732,0.00648987852036953,0.0007223784923553467,0.0056436313316226006
e22_Sbic_d6_tau0.05,person_00__S__r32,an elderly person with gray hair,0.19879433512687683,0.011981284245848656,0.24224050343036652,0.0818512961268425,0.043446168303489685,0.06987001188099384
e22_Sbic_d6_tau0.05,person_01__S__r32,an elderly person with gray hair,0.17114758491516113,-0.03145933896303177,0.17094676196575165,-0.004661976359784603,-0.00020082294940948486,0.026797362603247166
e22_Sbic_d6_tau0.10,car_00__S__r32,a wrecked car after an accident,0.21923349797725677,0.01904786378145218,0.21818888187408447,0.048343490809202194,-0.0010446161031723022,0.029295627027750015
e22_Sbic_d6_tau0.10,car_01__S__r32,a wrecked car after an accident,0.2770880162715912,0.017491355538368225,0.301214337348938,0.0583951473236084,0.024126321077346802,0.04090379178524017
e22_Sbic_d6_tau0.10,dog_00__S__r32,a cat sitting on the grass,0.16961881518363953,0.01096988096833229,0.1672687828540802,0.005123515613377094,-0.002350032329559326,-0.005846365354955196
e22_Sbic_d6_tau0.10,dog_01__S__r32,a cat sitting on the grass,0.17371027171611786,0.0008462471887469292,0.1744326502084732,0.00648987852036953,0.0007223784923553467,0.0056436313316226006
e22_Sbic_d6_tau0.10,person_00__S__r32,an elderly person with gray hair,0.19879433512687683,0.011981284245848656,0.24224050343036652,0.0818512961268425,0.043446168303489685,0.06987001188099384
e22_Sbic_d6_tau0.10,person_01__S__r32,an elderly person with gray hair,0.17114758491516113,-0.03145933896303177,0.17094676196575165,-0.004661976359784603,-0.00020082294940948486,0.026797362603247166
e23_P_s100_tau0.05,car_00__P__r16,a wrecked car after an accident,0.21923349797725677,0.01904786378145218,0.21818888187408447,0.048343490809202194,-0.0010446161031723022,0.029295627027750015
e23_P_s100_tau0.05,car_01__P__r16,a wrecked car after an accident,0.2770880162715912,0.017491355538368225,0.301214337348938,0.0583951473236084,0.024126321077346802,0.04090379178524017
e23_P_s100_tau0.05,dog_00__P__r16,a cat sitting on the grass,0.16961881518363953,0.01096988096833229,0.1672687828540802,0.005123515613377094,-0.002350032329559326,-0.005846365354955196
e23_P_s100_tau0.05,dog_01__P__r16,a cat sitting on the grass,0.17371027171611786,0.0008462471887469292,0.1744326502084732,0.00648987852036953,0.0007223784923553467,0.0056436313316226006
e23_P_s100_tau0.05,person_00__P__r16,an elderly person with gray hair,0.19879433512687683,0.011981284245848656,0.24224050343036652,0.0818512961268425,0.043446168303489685,0.06987001188099384
e23_P_s100_tau0.05,person_01__P__r16,an elderly person with gray hair,0.17114758491516113,-0.03145933896303177,0.17094676196575165,-0.004661976359784603,-0.00020082294940948486,0.026797362603247166
e23_Sbic_s100_tau0.05,car_00__S__r32,a wrecked car after an accident,0.21923349797725677,0.01904786378145218,0.21818888187408447,0.048343490809202194,-0.0010446161031723022,0.029295627027750015
e23_Sbic_s100_tau0.05,car_01__S__r32,a wrecked car after an accident,0.2770880162715912,0.017491355538368225,0.301214337348938,0.0583951473236084,0.024126321077346802,0.04090379178524017
e23_Sbic_s100_tau0.05,dog_00__S__r32,a cat sitting on the grass,0.16961881518363953,0.01096988096833229,0.1672687828540802,0.005123515613377094,-0.002350032329559326,-0.005846365354955196
e23_Sbic_s100_tau0.05,dog_01__S__r32,a cat sitting on the grass,0.17371027171611786,0.0008462471887469292,0.1744326502084732,0.00648987852036953,0.0007223784923553467,0.0056436313316226006
e23_Sbic_s100_tau0.05,person_00__S__r32,an elderly person with gray hair,0.19879433512687683,0.011981284245848656,0.24224050343036652,0.0818512961268425,0.043446168303489685,0.06987001188099384
e23_Sbic_s100_tau0.05,person_01__S__r32,an elderly person with gray hair,0.17114758491516113,-0.03145933896303177,0.17094676196575165,-0.004661976359784603,-0.00020082294940948486,0.026797362603247166
e23_Sbic_s100_tau0.10,car_00__S__r32,a wrecked car after an accident,0.21923349797725677,0.01904786378145218,0.21818888187408447,0.048343490809202194,-0.0010446161031723022,0.029295627027750015
e23_Sbic_s100_tau0.10,car_01__S__r32,a wrecked car after an accident,0.2770880162715912,0.017491355538368225,0.301214337348938,0.0583951473236084,0.024126321077346802,0.04090379178524017
e23_Sbic_s100_tau0.10,dog_00__S__r32,a cat sitting on the grass,0.16961881518363953,0.01096988096833229,0.1672687828540802,0.005123515613377094,-0.002350032329559326,-0.005846365354955196
e8_rank_tau0.10,car_00__PF__r16,a wrecked car after an accident,0.21923349797725677,0.01904786378145218,0.21818888187408447,0.048343490809202194,-0.0010446161031723022,0.029295627027750015
e8_rank_tau0.10,car_00__P__r16,a wrecked car after an accident,0.21923349797725677,0.01904786378145218,0.21818888187408447,0.048343490809202194,-0.0010446161031723022,0.029295627027750015
