image,condition,purifier,band_lo,band_hi,rho,systematic_bias,inst_mag,surv_mag
task_attr_mod_color_11699,ours_ph_q,identity,0.0,0.12,1.0,0.0,0.0021,0.0021
task_attr_mod_color_11699,ours_ph_q,identity,0.12,0.25,1.0,0.0,0.10054,0.10054
task_attr_mod_color_11699,ours_ph_q,identity,0.25,0.4,1.0,0.0,0.18185,0.18185
task_attr_mod_color_11699,ours_ph_q,identity,0.4,0.55,1.0,0.0,0.26738,0.26738
task_attr_mod_color_11699,ours_ph_q,identity,0.55,0.7,1.0,0.0,0.40108,0.40108
task_attr_mod_color_11699,ours_ph_q,identity,0.7,0.85,1.0,0.0,0.57704,0.57704
task_attr_mod_color_11699,ours_ph_q,identity,0.85,1.05,1.0,0.0,0.76892,0.76892
task_attr_mod_color_11699,ours_ph_q,jpeg75,0.0,0.12,0.99998,-1e-05,0.0021,0.00311
task_attr_mod_color_11699,ours_ph_q,jpeg75,0.12,0.25,0.98148,-3e-05,0.10054,0.12058
task_attr_mod_color_11699,ours_ph_q,jpeg75,0.25,0.4,0.95231,0.00184,0.18185,0.18954
task_attr_mod_color_11699,ours_ph_q,jpeg75,0.4,0.55,0.91002,0.00151,0.26738,0.31411
task_attr_mod_color_11699,ours_ph_q,jpeg75,0.55,0.7,0.8323,0.00295,0.40108,0.52224
task_attr_mod_color_11699,ours_ph_q,jpeg75,0.7,0.85,0.69458,-0.00451,0.57704,0.79542
task_attr_mod_color_11699,ours_ph_q,jpeg75,0.85,1.05,0.48632,0.00055,0.76892,1.07594
task_attr_mod_color_11699,ours_ph_q,jpeg50,0.0,0.12,0.99997,-3e-05,0.0021,0.00353
task_attr_mod_color_11699,ours_ph_q,jpeg50,0.12,0.25,0.97656,-0.00029,0.10054,0.11956
task_attr_mod_color_11699,ours_ph_q,jpeg50,0.25,0.4,0.94068,-0.00086,0.18185,0.20169
task_attr_mod_color_11699,ours_ph_q,jpeg50,0.4,0.55,0.86761,0.00151,0.26738,0.36576
task_attr_mod_color_11699,ours_ph_q,jpeg50,0.55,0.7,0.73442,-0.00382,0.40108,0.60823
task_attr_mod_color_11699,ours_ph_q,jpeg50,0.7,0.85,0.51921,0.01785,0.57704,0.9053
task_attr_mod_color_11699,ours_ph_q,jpeg50,0.85,1.05,0.28844,0.02342,0.76892,1.15403
task_attr_mod_color_11699,ours_ph_q,jpeg30,0.0,0.12,0.99995,-2e-05,0.0021,0.0043
task_attr_mod_color_11699,ours_ph_q,jpeg30,0.12,0.25,0.96946,0.00033,0.10054,0.1369
task_attr_mod_color_11699,ours_ph_q,jpeg30,0.25,0.4,0.92328,0.00027,0.18185,0.23511
task_attr_mod_color_11699,ours_ph_q,jpeg30,0.4,0.55,0.82596,-0.00342,0.26738,0.42288
task_attr_mod_color_11699,ours_ph_q,jpeg30,0.55,0.7,0.66077,0.00091,0.40108,0.6667
task_attr_mod_color_11699,ours_ph_q,jpeg30,0.7,0.85,0.42478,0.00054,0.57704,0.94007
task_attr_mod_color_11699,ours_ph_q,jpeg30,0.85,1.05,0.26384,0.01872,0.76892,1.07048
task_attr_mod_color_11699,ours_ph_q,blur1,0.0,0.12,1.0,-0.0,0.0021,0.002
task_attr_mod_color_11699,ours_ph_q,blur1,0.12,0.25,0.99919,-7e-05,0.10054,0.09768
task_attr_mod_color_11699,ours_ph_q,blur1,0.25,0.4,0.99524,0.00017,0.18185,0.17924
task_attr_mod_color_11699,ours_ph_q,blur1,0.4,0.55,0.98612,-0.00021,0.26738,0.26098
task_attr_mod_color_11699,ours_ph_q,blur1,0.55,0.7,0.9662,-0.00051,0.40108,0.38689
task_attr_mod_color_11699,ours_ph_q,blur1,0.7,0.85,0.93429,-0.00174,0.57704,0.55962
task_attr_mod_color_11699,ours_ph_q,blur1,0.85,1.05,0.90881,-0.00206,0.76892,0.75292
task_attr_mod_color_11699,ours_ph_q,blur2,0.0,0.12,0.99999,-1e-05,0.0021,0.00173
task_attr_mod_color_11699,ours_ph_q,blur2,0.12,0.25,0.99407,-0.00048,0.10054,0.09195
task_attr_mod_color_11699,ours_ph_q,blur2,0.25,0.4,0.96743,0.00065,0.18185,0.17689
task_attr_mod_color_11699,ours_ph_q,blur2,0.4,0.55,0.91354,3e-05,0.26738,0.24969
task_attr_mod_color_11699,ours_ph_q,blur2,0.55,0.7,0.81035,0.00434,0.40108,0.28215
task_attr_mod_color_11699,ours_ph_q,blur2,0.7,0.85,0.67319,0.00751,0.57704,0.40946
task_attr_mod_color_11699,ours_ph_q,blur2,0.85,1.05,0.50931,0.00101,0.76892,0.63243
task_attr_mod_color_11699,ours_ph_q,crop_resize0.1,0.0,0.12,0.99983,-8e-05,0.0021,0.00426
task_attr_mod_color_11699,ours_ph_q,crop_resize0.1,0.12,0.25,0.88728,-0.00488,0.10054,0.27579
task_attr_mod_color_11699,ours_ph_q,crop_resize0.1,0.25,0.4,0.78559,-0.00514,0.18185,0.42653
task_attr_mod_color_11699,ours_ph_q,crop_resize0.1,0.4,0.55,0.64718,-0.00479,0.26738,0.62256
task_attr_mod_color_11699,ours_ph_q,crop_resize0.1,0.55,0.7,0.47881,-0.01128,0.40108,0.83633
task_attr_mod_color_11699,ours_ph_q,crop_resize0.1,0.7,0.85,0.33213,0.00238,0.57704,1.01149
task_attr_mod_color_11699,ours_ph_q,crop_resize0.1,0.85,1.05,0.27893,-0.00648,0.76892,1.01526
task_attr_mod_color_11699,ours_ph_q,crop_resize0.15,0.0,0.12,0.99965,-0.0001,0.0021,0.00661
task_attr_mod_color_11699,ours_ph_q,crop_resize0.15,0.12,0.25,0.85075,-0.003,0.10054,0.34293
task_attr_mod_color_11699,ours_ph_q,crop_resize0.15,0.25,0.4,0.73329,-0.00822,0.18185,0.51583
task_attr_mod_color_11699,ours_ph_q,crop_resize0.15,0.4,0.55,0.55984,-0.01655,0.26738,0.76068
task_attr_mod_color_11699,ours_ph_q,crop_resize0.15,0.55,0.7,0.38822,-0.00299,0.40108,0.97732
task_attr_mod_color_11699,ours_ph_q,crop_resize0.15,0.7,0.85,0.29395,-0.00796,0.57704,1.0696
task_attr_mod_color_11699,ours_ph_q,crop_resize0.15,0.85,1.05,0.26941,0.0158,0.76892,1.02056
task_attr_mod_color_136767,ours_ph_q,identity,0.0,0.12,1.0,0.0,0.00445,0.00445
task_attr_mod_color_136767,ours_ph_q,identity,0.12,0.25,1.0,0.0,0.11532,0.11532
task_attr_mod_color_136767,ours_ph_q,identity,0.25,0.4,1.0,0.0,0.19754,0.19754
task_attr_mod_color_136767,ours_ph_q,identity,0.4,0.55,1.0,0.0,0.27847,0.27847
task_attr_mod_color_136767,ours_ph_q,identity,0.55,0.7,1.0,0.0,0.42866,0.42866
task_attr_mod_color_136767,ours_ph_q,identity,0.7,0.85,1.0,0.0,0.62303,0.62303
task_attr_mod_color_136767,ours_ph_q,identity,0.85,1.05,1.0,0.0,0.82695,0.82695
task_attr_mod_color_136767,ours_ph_q,jpeg75,0.0,0.12,0.99993,-2e-05,0.00445,0.00614
task_attr_mod_color_136767,ours_ph_q,jpeg75,0.12,0.25,0.9833,-0.00095,0.11532,0.12936
task_attr_mod_color_136767,ours_ph_q,jpeg75,0.25,0.4,0.96212,0.0013,0.19754,0.21372
task_attr_mod_color_136767,ours_ph_q,jpeg75,0.4,0.55,0.92564,0.00216,0.27847,0.33847
task_attr_mod_color_136767,ours_ph_q,jpeg75,0.55,0.7,0.83315,0.00103,0.42866,0.57124
task_attr_mod_color_136767,ours_ph_q,jpeg75,0.7,0.85,0.67563,-0.00057,0.62303,0.85905
task_attr_mod_color_136767,ours_ph_q,jpeg75,0.85,1.05,0.45533,0.01326,0.82695,1.14269
task_attr_mod_color_136767,ours_ph_q,jpeg50,0.0,0.12,0.99986,-5e-05,0.00445,0.00638
task_attr_mod_color_136767,ours_ph_q,jpeg50,0.12,0.25,0.97888,-0.00094,0.11532,0.12849
task_attr_mod_color_136767,ours_ph_q,jpeg50,0.25,0.4,0.94334,-0.00034,0.19754,0.23486
task_attr_mod_color_136767,ours_ph_q,jpeg50,0.4,0.55,0.86733,0.00607,0.27847,0.40297
task_attr_mod_color_136767,ours_ph_q,jpeg50,0.55,0.7,0.70035,0.00763,0.42866,0.67018
task_attr_mod_color_136767,ours_ph_q,jpeg50,0.7,0.85,0.47559,0.00405,0.62303,0.94769
task_attr_mod_color_136767,ours_ph_q,jpeg50,0.85,1.05,0.25459,-0.00728,0.82695,1.17217
task_attr_mod_color_136767,ours_ph_q,jpeg30,0.0,0.12,0.99975,-3e-05,0.00445,0.00711
task_attr_mod_color_136767,ours_ph_q,jpeg30,0.12,0.25,0.97157,0.00038,0.11532,0.14168
task_attr_mod_color_136767,ours_ph_q,jpeg30,0.25,0.4,0.91708,-0.00113,0.19754,0.2775
task_attr_mod_color_136767,ours_ph_q,jpeg30,0.4,0.55,0.80585,0.00115,0.27847,0.47445
task_attr_mod_color_136767,ours_ph_q,jpeg30,0.55,0.7,0.6105,-0.01406,0.42866,0.74071
task_attr_mod_color_136767,ours_ph_q,jpeg30,0.7,0.85,0.39187,0.00424,0.62303,0.97223
task_attr_mod_color_136767,ours_ph_q,jpeg30,0.85,1.05,0.24829,-0.00549,0.82695,1.07442
task_attr_mod_color_136767,ours_ph_q,blur1,0.0,0.12,1.0,0.0,0.00445,0.00426
task_attr_mod_color_136767,ours_ph_q,blur1,0.12,0.25,0.999,-0.00011,0.11532,0.11143
task_attr_mod_color_136767,ours_ph_q,blur1,0.25,0.4,0.99452,0.00019,0.19754,0.19428
task_attr_mod_color_136767,ours_ph_q,blur1,0.4,0.55,0.98413,-0.00049,0.27847,0.2696
task_attr_mod_color_136767,ours_ph_q,blur1,0.55,0.7,0.96178,0.00018,0.42866,0.41177
task_attr_mod_color_136767,ours_ph_q,blur1,0.7,0.85,0.92742,0.00094,0.62303,0.59975
task_attr_mod_color_136767,ours_ph_q,blur1,0.85,1.05,0.8996,0.00052,0.82695,0.80817
task_attr_mod_color_136767,ours_ph_q,blur2,0.0,0.12,0.99998,1e-05,0.00445,0.0038
task_attr_mod_color_136767,ours_ph_q,blur2,0.12,0.25,0.99256,-0.00029,0.11532,0.10275
task_attr_mod_color_136767,ours_ph_q,blur2,0.25,0.4,0.96396,0.00047,0.19754,0.19117
task_attr_mod_color_136767,ours_ph_q,blur2,0.4,0.55,0.90868,-0.00231,0.27847,0.24613
task_attr_mod_color_136767,ours_ph_q,blur2,0.55,0.7,0.79288,0.00408,0.42866,0.28991
task_attr_mod_color_136767,ours_ph_q,blur2,0.7,0.85,0.64372,0.00407,0.62303,0.42746
