clip_orig,clip_edit,siglip_orig,siglip_edit,effect_clip,effect_siglip,image_id,group,strength,passed
0.2123030126094818,0.2387586534023285,0.006273999810218811,0.03460018336772919,0.02645564079284668,0.028326183557510376,bird_02,bird,,True
0.2299695909023285,0.20524831116199493,0.03953719884157181,0.011606846004724503,-0.024721279740333557,-0.027930352836847305,cat_02,cat,,False
0.2195064127445221,0.22618481516838074,0.01922856643795967,0.053855910897254944,0.006678402423858643,0.03462734445929527,horse_02,horse,,True
0.22648435831069946,0.27040424942970276,0.0405036024749279,0.08761817216873169,0.043919891119003296,0.04711456969380379,cat_01,cat,,True
0.2430478185415268,0.21858727931976318,0.061898909509181976,0.02301548421382904,-0.02446053922176361,-0.038883425295352936,horse_01,horse,,False
0.23933584988117218,0.3299606144428253,0.07480263710021973,0.11628350615501404,0.09062476456165314,0.04148086905479431,horse_00,horse,,True
