image,condition,stage1_seconds,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop
cat_01,apa_weak,46.6,147.3,0.1614,0.8303,0.1034,20.6563,0.9173,5.157,0.6287,0.2376,0.2601,0.2602,-0.0001,0.0917,0.0927,-0.001
cat_01,mist,0.0,85.1,0.6177,0.8251,0.1483,26.3363,0.9097,4.6613,0.7224,0.7778,0.2601,0.2464,0.0138,0.0917,0.0967,-0.005
cat_01,dia_r,0.0,150.3,0.2266,0.9903,0.0165,40.6755,0.9805,5.4699,0.7055,0.3446,0.2601,0.2604,-0.0002,0.0917,0.0877,0.004
dog_03,apa_weak,47.2,131.0,0.2087,0.7171,0.1277,18.211,0.9671,4.9282,0.571,0.4188,0.2573,0.2568,0.0005,0.0807,0.0725,0.0082
dog_03,mist,0.0,85.5,0.5646,0.854,0.1204,26.4736,0.9432,4.6076,0.685,0.6659,0.2573,0.2582,-0.0009,0.0807,0.0967,-0.016
dog_03,dia_r,0.0,149.9,0.1817,0.9906,0.0137,39.9713,0.9716,5.2152,0.6754,0.4599,0.2573,0.27,-0.0127,0.0807,0.0882,-0.0075
horse_03,apa_weak,47.1,130.6,0.2071,0.7174,0.1001,18.6063,0.9481,4.8172,0.6955,0.2328,0.3151,0.3089,0.0061,0.1182,0.1193,-0.0011
horse_03,mist,0.0,85.4,0.5582,0.7862,0.1441,26.6557,0.8599,4.6123,0.7054,0.641,0.3151,0.3095,0.0056,0.1182,0.1075,0.0108
horse_03,dia_r,0.0,149.6,0.1863,0.9842,0.0355,39.4762,0.967,4.9743,0.6975,0.2085,0.3151,0.3184,-0.0034,0.1182,0.1182,0.0
man_02,apa_weak,47.0,130.5,0.2428,0.6011,0.1451,14.8021,0.9524,4.5882,0.6833,0.2803,0.2748,0.2875,-0.0127,0.1256,0.1325,-0.0068
man_02,mist,0.0,85.3,0.4423,0.8511,0.1057,26.2122,0.9121,5.2203,0.679,0.4559,0.2748,0.289,-0.0142,0.1256,0.1243,0.0013
man_02,dia_r,0.0,149.6,0.1245,0.989,0.0216,39.342,0.9866,5.061,0.6675,0.2699,0.2748,0.2828,-0.008,0.1256,0.13,-0.0043
woman_02,apa_weak,47.0,130.7,0.15,0.8646,0.0715,22.6818,0.989,4.1366,0.6236,0.1108,0.2026,0.2023,0.0003,0.0577,0.0579,-0.0002
woman_02,mist,0.0,85.5,0.624,0.7735,0.1491,26.6909,0.925,3.8033,0.6695,0.6103,0.2026,0.2175,-0.0149,0.0577,0.0664,-0.0087
woman_02,dia_r,0.0,149.8,0.3277,0.9801,0.0375,39.2425,0.9873,4.0831,0.6779,0.3717,0.2026,0.2162,-0.0136,0.0577,0.0659,-0.0082
